0xC,0x2,Model
0x40,0x20,ConfigurationId1
0x250,0x20,SerialNumber
0x270,0x40,EccP256DeviceKey
0x2B0,0x190,EccP256DeviceCertificate
0x440,0x40,EccB233DeviceKey
0x480,0x190,EccB233DeviceCertificate
0x610,0x40,EccP256ETicketKey
0x650,0x190,EccP256ETicketCertificate
0x7E0,0x40,EccB233ETicketKey
0x820,0x190,EccB233ETicketCertificate
0x9B0,0x120,SslKey
0xAD0,0x10,SslCertificateSize
0xAE0,0x800,SslCertificate
0x12E0,0x20,SslCertificateHash
0x2A90,0x250,Rsa2048ETicketCertificate
0x3510,0x10,RegionCode
0x3520,0x60,AmiiboKey
0x3580,0x20,AmiiboEcqvCertificate
0x35A0,0x80,AmiiboEcdsaCertificate
0x3620,0x50,AmiiboEcqvBlsKey
0x3670,0x30,AmiiboEcqvBlsCertificate
0x36A0,0xA0,AmiiboEcqvBlsRootCertificate
0x3740,0x10,ProductModel
0x3770,0x60,ExtendedEccB233DeviceKey
0x37D0,0x60,ExtendedEccP256ETicketKey
0x3830,0x60,ExtendedEccB233ETicketKey
0x3AE0,0x140,ExtendedSslKey
0x3D70,0x250,[5.0.0+] ExtendedRsa2048DeviceKey
0x3FC0,0x250,[5.0.0+] Rsa2048DeviceCertificate
0x3890,0x250,ExtendedRsa2048ETicketKey
0x2860,0x230,Rsa2048ETicketKey
0x2320,0x120,GameCardKey
0x2440,0x400,GameCardCertificate
0x2840,0x20,GameCardCertificateHash
0x3C20,0x140,ExtendedGameCardKey